timestamp,open,high,low,close,volume,trade_count,vwap
2016-07-26 20:28:00+00:00,96.6,96.6,96.3,96.5,16792.0,35.0,96.470849
2016-07-26 20:29:00+00:00,96.6,96.6,96.4,96.6,3563.0,19.0,96.592982
2016-07-26 20:30:00+00:00,96.5,102.44,96.5,101.46,1077295.0,4317.0,100.377209
2020-03-12 23:58:00+00:00,237.2,237.45,237.19,237.45,4688.0,64.0,237.277439
2020-03-12 23:59:00+00:00,237.05,237.6,236.6,236.65,9621.0,117.0,237.056681
2020-03-13 08:00:00+00:00,255.1,259.9,255.1,259.9,7486.0,90.0,256.61742
2020-03-12 23:59:00+00:00,237.05,237.6,236.6,236.65,9621.0,117.0,237.056681
2020-03-13 08:00:00+00:00,255.1,259.9,255.1,259.9,7486.0,90.0,256.61742
2020-03-13 08:01:00+00:00,260.0,260.0,259.2,259.6,4432.0,45.0,259.852959
2020-03-19 23:58:00+00:00,244.05,244.05,243.5,243.5,4485.0,31.0,243.799465
2020-03-19 23:59:00+00:00,243.5,243.5,243.25,243.25,2147.0,30.0,243.474897
2020-03-20 08:00:00+00:00,254.1,256.72,253.1,256.43,5406.0,76.0,254.902556
