symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2024-07-01 08:00:00+00:00,211.89,211.89,211.7,211.84,2488.0,168.0,211.801805
AAPL,2024-07-01 08:01:00+00:00,211.68,211.68,211.68,211.68,800.0,44.0,211.68
AAPL,2024-07-01 08:02:00+00:00,211.78,211.83,211.78,211.83,1587.0,37.0,211.793333
AAPL,2024-07-01 08:03:00+00:00,211.83,211.88,211.79,211.79,4499.0,51.0,211.80494
AAPL,2024-07-01 08:04:00+00:00,211.71,211.71,211.71,211.71,1677.0,68.0,211.71
AAPL,2024-07-01 08:07:00+00:00,211.7,211.7,211.59,211.59,834.0,22.0,211.631373
AAPL,2024-07-01 08:09:00+00:00,211.73,211.73,211.73,211.73,754.0,22.0,211.73
AAPL,2024-07-01 08:11:00+00:00,211.71,211.71,211.71,211.71,493.0,15.0,211.71
AAPL,2024-07-01 08:15:00+00:00,211.7,211.7,211.7,211.7,399.0,2.0,211.7
AAPL,2024-07-01 08:19:00+00:00,211.79,211.79,211.79,211.79,744.0,28.0,211.79
AAPL,2024-07-01 08:22:00+00:00,211.75,211.75,211.75,211.75,248.0,6.0,211.75
AAPL,2024-07-01 08:29:00+00:00,211.8,211.8,211.8,211.8,286.0,9.0,211.8
AAPL,2024-07-01 08:34:00+00:00,211.81,211.81,211.81,211.81,483.0,12.0,211.81
AAPL,2024-07-01 08:35:00+00:00,211.82,211.82,211.75,211.75,1108.0,36.0,211.788251
AAPL,2024-07-01 08:36:00+00:00,211.7,211.7,211.7,211.7,1654.0,30.0,211.7
AAPL,2024-07-01 08:37:00+00:00,211.71,211.71,211.7,211.7,2232.0,31.0,211.701277
AAPL,2024-07-01 08:39:00+00:00,211.76,211.76,211.48,211.48,3003.0,122.0,211.568
AAPL,2024-07-01 08:40:00+00:00,211.35,211.35,211.35,211.35,1913.0,43.0,211.35
AAPL,2024-07-01 08:41:00+00:00,211.25,211.25,211.25,211.25,1219.0,32.0,211.25
AAPL,2024-07-01 08:42:00+00:00,211.08,211.08,211.08,211.08,3164.0,62.0,211.08
AAPL,2024-07-01 08:43:00+00:00,211.3,211.3,211.3,211.3,436.0,12.0,211.3
AAPL,2024-07-01 08:44:00+00:00,211.3,211.3,211.3,211.3,663.0,16.0,211.3
AAPL,2024-07-01 08:45:00+00:00,211.3,211.3,211.19,211.19,2935.0,43.0,211.263941
AAPL,2024-07-01 08:46:00+00:00,211.4,211.4,211.4,211.4,386.0,5.0,211.4
AAPL,2024-07-01 08:47:00+00:00,211.31,211.4,211.31,211.4,374.0,9.0,211.366038
AAPL,2024-07-01 08:49:00+00:00,211.28,211.28,211.28,211.28,1667.0,40.0,211.28
AAPL,2024-07-01 08:51:00+00:00,211.2,211.2,211.2,211.2,785.0,12.0,211.2
AAPL,2024-07-01 08:52:00+00:00,211.39,211.39,211.39,211.39,755.0,18.0,211.39
AAPL,2024-07-01 08:54:00+00:00,211.24,211.24,211.24,211.24,2885.0,75.0,211.24
